timestamp,open,high,low,close,volume
1557100800000,5715,7582,5560.5,6975.5,1122262486,175073.2759193929
1556496000000,5153,5850,5068,5715,668378538,122162.8745052606
1555891200000,5296,5650.5,4962,5153,560985648,105499.1694972994
1555286400000,5160,5379,4948.5,5296,509728607,97602.6363743691
1554681600000,5190,5467,4926,5160,306270809,60026.2796695494
1554076800000,4091,5337,4041.5,5190,165486416,34223.65875267
1553472000000,3966,4128,3860,4091,40983586,10212.1855193399
1552867200000,3961.5,4063.5,3921,3966,51152401,12852.5466493301
1552262400000,3898,4035.5,3760,3961.5,49256058,12669.94565376
1551657600000,3785,3943,3669.5,3898,50735095,13275.45079782
1551052800000,3732,3873.5,3660,3785,51666957,13598.59419801
1550448000000,3620,4186.5,3614.5,3732,62262526,15923.85609574
1549843200000,3647,3680.5,3535.5,3620,49778640,13896.7704486
1549238400000,3414,3716.5,3334.5,3647,43831921,12691.81497521
1548633600000,3528.5,3530.5,3344,3414,27875126,8145.99890619
1548028800000,3531.5,3665.5,3418,3528.5,55741502,15703.0755239401
1547424000000,3509.5,3776,3461.5,3531.5,61592213,17036.95638713
1546819200000,4039.5,4115,3482.5,3509.5,68789390,18209.9775390899
1546214400000,3830.5,4083,3622,4039.5,41664821,10940.4486147543
1545609600000,3945.5,4239,3551,3830.5,35215036,9274.91316331
1545004800000,3190.5,4170,3178.5,3945.5,57600456,15214.3929045396
1544400000000,3526.5,3588.5,3114.5,3190.5,42763238,12906.5451775986
1543795200000,4107,4115.5,3069,3526.5,72500417,20237.8927676895
1543190400000,3935,4393,3502,4107,33938223,8607.6100757801
1542585600000,5556,5579,3441,3935,82186651,18264.7800124399
1541980800000,5740,5740,5186.5,5556,66167615,12026.7934982903
